feature,importance
debt_to_income_ratio,23158
interest_rate,18263
annual_income,16979
loan_amount,16916
credit_score,16581
grade_subgrade,5325
education_level,2015
employment_status_Student,506
employment_status_Retired,450
loan_purpose_Medical,343
employment_status_Unemployed,330
loan_purpose_Home,324
loan_purpose_Education,246
loan_purpose_Business,196
loan_purpose_Vacation,178
loan_purpose_Other,171
marital_status_Married,161
loan_purpose_Debt consolidation,152
gender_Female,152
marital_status_Single,149
employment_status_Employed,127
marital_status_Widowed,77
gender_Male,76
loan_purpose_Car,64
employment_status_Self-employed,58
gender_Other,30
marital_status_Divorced,0
